cleanedV	Freq
ambassador	9
ambassadors	2
ambassadorship	3
ambe	1
ambien	1
ambitions	1
ambitious	1
ambridge	1
ambush	1
ambushed	2
amc	1
amelia	1
amen	13
amendment	35
amendmentand	1
amendments	2
amenia	1
amenities	23
amer	1
amercan	1
amercia	5
amercian	1
america	1148
americaa	1
americaamerica	1
americafor	1
americahe	1
americahis	1
americai	1
american	362
americanism	1
americanow	1
americans	194
americansamp	1
americansmore	1
americanus	1
americarecord	1
americas	78
americashe	1
americastop	1
ames	5
amherst	2
ami	1
amid	2
amie	1
amira	2
ammo	2
ammunition	2
amnesty	68
amnestyfor	1
amnever	1
among	41
amongst	1
amonix	1
amount	20
amounts	9
amp	2281
ampgreg	1
ampi	1
ampmy	1
amppocketbook	1
ampsecurity	1
ampthe	1
amptrump	1
amptrumps	1
amtrak	2
amtune	1
amusing	1
amy	11
amymek	1
an	925
ana	2
anaheim	4
analysis	5
analysisand	1
analyst	6
analysts	1
analytical	1
analyzes	1
analyzing	1
anarchists	1
anchor	7
anchored	2
anchors	2
ancient	2
and	7071
anderson	8
andersonthank	1
andey	2
andfriends	1
andmy	1
andor	3
andre	2
andrea	2
andreajmarkley	1
andres	1
andretti	4
andrew	27
andrews	3
andwon	1
andy	25
angel	5
angela	1
angeles	13
angelesit	1
angelina	2
angelo	4
angels	1
anger	11
angie	2
angieapon	1
angle	1
angrier	1
angry	38
angus	1
animal	3
animals	9
animated	1
animosity	1
aniston	1
ankle	2
ann	10
anna	6
annapolisdummy	1
anne	1
annie	1
annihilating	1
annika	1
anniversary	34
anniversarybeautiful	1
annmarie	1
announce	59
announced	62
announcedby	1
announcement	67
announcements	2
announcementyou	1
announcer	1
announcers	3
announces	16
announcing	11
annoy	1
annoyed	2
annoying	3
annual	21
annually	3
anonymous	5
anot	1
another	339
anounce	1
anouncment	1
answer	77
answered	14
answeri	1
answering	7
answers	25
antarctic	1
antarctica	2
ante	1
anthem	1
anthony	48
anthonydid	1
anthrax	1
anti	5
anti2a	1
antiamerica	1
antibush	1
antibusiness	1
anticatholic	2
antichina	1
anticipate	1
anticipated	9
anticipates	1
anticipating	2
anticipation	4
antics	3
antidefamation	1
antidefense	1
antidonald	1
antidote	1
antiestablishment	1
antigas	1
antigun	1
antiinvestment	1
antiisrael	1
antijobs	1
antimormon	1
antimorsi	1
antimubarek	1
antiobama	2
antipoverty	1
antisecond	1
antisexual	1
antiterror	1
antitrump	5
antivaccine	1
antiwindfarm	2
antiwomen	1
antoine	1
antonin	1
antonio	1
antrump	1
anxiety	2
anxious	2
anxiously	2
any	293
anybody	37
anybodys	2
anyday	1
anyhow	2
anymore	46
anymorea	1
anymoreenjoy	1
anymoresorry	1
anymorethey	1
anymoretoo	1
anyone	164
anyoneits	1
anyones	4
anything	148
anythingim	1
anythingtime	1
anytime	9
anyway	38
anywayfool	1
anywaygive	1
anywhere	16
aol	10
ap	4
apart	22
apart🏽	1
aparti	1
apartment	8
apartmentits	1
apartments	1
apartsuch	1
apartwhat	1
apathy	1
apollo	2
apologetic	1
apologies	7
apologiestake	1
apologising	1
apologize	53
apologized	17
apologizes	3
apologizing	9
apology	24
apologybrent	1
apologyzero	1
apoplectic	1
app	14
appalled	1
apparel	5
apparent	1
apparently	6
appeal	12
appealed	1
appealing	2
appeals	2
appear	6
appearance	32
appearances	3
appeared	5
appearing	12
appears	4
appeaser	1
appentance	1
appetite	1
appitamy	1
applaud	4
applauding	1
applauds	1
applause	4
apple	27
applecart	1
apples	2
appleton	1
applicants	2
application	8
applications	16
applicationswhy	1
applied	3
applies	3
apply	10
applying	2
appoint	4
appointed	4
appointee	4
appointing	1
appointment	1
appointments	2
appreciate	53
appreciated	26
appreciates	1
appreciation	3
appreciative	2
appren	1
apprenctice	1
apprenteince	1
apprentence	1
apprentice	437
apprentice10	1
apprenticeall	1
apprenticebest	1
apprenticebut	1
apprenticefull	1
apprenticegreat	1
apprenticehope	1
apprenticenbc	2
apprentices	2
apprenticeshe	1
apprenticesome	1
apprenticethank	1
apprenticetonights	1
apprenticetune	1
apprentise	1
approach	6
approaches	1
approachesand	1
approaching	2
appropriately	2
appropriations	1
approval	27
approve	15
approved	9
approves	1
approving	4
approx	1
approximately	1
april	27
aprilnot	1
aprils	1
apt	1
aptitude	5
ar	3
arab	20
arabella	1
arabia	22
arabic	1
arbitrary	1
arbitration	2
archbishop	1
architect	18
architectural	10
architecturally	1
architecture	5
archivedonaldtrumps	1
arctic	1
ardrossan	1
are	2835
area	23
areas	11
arena	16
arenot	1
arent	52
aretha	1
areuall	1
arg	1
argentina	2
argue	3
argued	3
argues	1
arguing	2
argument	5
arguments	4
argyll	1
arianna	10
arias	5
arise	2
aristotle	9
arizona	52
arkansas	5
arlene	1
arlingtoncrowd	1
arm	3
armed	19
arming	6
armoredcar	1
arms	8
armstrong	22
armstrongnot	1
armstrongs	1
army	19
armynavy	1
arnie	1
arnold	17
arnt	1
arod	58
arodbuy	1
aroddishonorable	1
arodhe	1
arods	7
arodthey	1
arodto	1
around	133
aroundbut	1
arouses	1
arpaio	1
arranged	1
array	5
arrest	3
arrested	8
arrestedbut	1
arresting	1
arrival	2
arrive	2
arrived	29
arrives	3
arriving	6
arrogance	3
arrogant	10
arrow	1
arse	1
arsenal	2
arsenio	7
arsss	1
art	196
arthur	3
article	88
articlea	1
articles	3
articlethe	1
articlewhen	1
articulate	2
artificial	3
artificially	1
artillery	1
artist	4
artistic	2
artists	1
artmaking	1
arts	2
artsy	1
artwork	2
as	1349
asa	1
asap	10
asapi	1
asbestos	1
ashamed	29
ashell	1
asheville	2
ashish	3
ashley	13
asia	9
asiana	1
asians	2
asiawhat	1
aside	4
asinine	3
ask	99
asked	62
askeda	1
askhow	1
asking	61
asks	6
asleep	4
aspect	7
aspects	4
aspen	3
aspirations	3
aspire	3
aspirin	1
aspiring	10
ass	62
assad	9
assange	3
assault	9
assaulted	2
assaultedpoliticians	1
assaulter	1
assaulterand	1
assaulting	1
assaults	6
asselrod	1
assemble	1
assembled	1
assembly	3
assertive	1
asses	2
assess	1
assesses	1
assessment	1
asset	8
assets	14
assetsthe	1
asshole	11
assholetotal	1
assignment	8
assist	1
assistance	2
assistant	5
assoc	1
associated	7
associates	1
association	6
asst	1
assults	1
assume	10
assure	3
assures	1
astonished	1
astonishingly	1
astor	1
astoria	2
astorias	1
astorino	1
astound	2
astronomical	1
aswell	1
asylum	3
at	2587
at1	1
at700	1
atampt	1
ate	2
atheist	1
athlete	7
athletes	5
athletic	6
athleticism	1
atitude	1
atkinson	1
atl	1
atlanta	10
atlantic	42
atmacys	1
atmosphere	4
atrium	19
atriumit	1
atriumthey	1
atrocious	1
atrocities	1
attaché	1
attached	4
attack	149
attackare	1
attacked	30
attackers	1
attacking	33
attacks	45
attacksus	1
attempt	10
attempted	2
attempting	3
attempts	2
attend	11
attendance	6
attendants	1
attended	11
attendees	3
attendeescant	1
attendeven	1
attending	13
attends	2
attention	41
attentionand	1
atthe	1
attire	1
attitude	29
attitudea	1
attn	3
attntrue	1
attorney	22
attorneys	1
attract	2
attracted	2
attracting	3
attraction	3
attractions	3
attribute	4
attributed	3
attributes	2
atty	1
aubrey	2
aubry	2
auction	4
audacious	1
audacity	3
audience	25
audio	5
audit	6
audited	2
auditorium	2
audrey	2
aug	3
august	11
augusta	1
augustine	3
augusts	1
aunt	1
aurora	1
aussie	2
austerity	1
austin	4
australia	23
australian	1
authentic	1
author	3
authored	2
authorities	4
authority	12
authorized	1
autism	29
autismgo	1
autistic	2
auto	5
autobiography	2
autograph	1
autographed	4
autographs	1
automakers	1
automatically	2
automobile	2
autos	1
available	44
availableor	1
ave	11
avenge	1
avenue	33
avenueeach	1
avenues	2
average	22
avert	2
averted	1
avg	1
aviation	1
aviv	1
avoid	9
avoided	2
avoiding	2
await	2
awaiting	6
awaits	3
awake	7
awakened	1
awakening	1
awakens	1
award	65
awarda	2
awarded	22
awards	31
awardshow	1
aware	11
awareness	11
away	150
awayothers	1
awaythe	1
awaythx	1
awaywe	1
awaywith	1
awe	2
awesome	186
awesomeamp	1
awesomeness	1
awesomeone	1
awesomewhat	1
awesone	1
awful	13
awhile	2
awkward	8
awww	1
axe	1
axelrod	2
axis	1
axl	1
ayers	2
ayrshire	8
az	8
b	52
b4	5
b4jeb	1
b757	1
ba	1
baaaaaack	1
baaaaack	1
baaack	1
babar	1
babbling	1
babe	9
babies	5
baby	22
babys	1
bachelor	1
bachelors	2
bachmann	5
back	721
backa	1
backampforth	1
backand	1
backbone	8
backdo	1
backdoor	2
backdrop	2
backed	9
backend	2
backer	1
backers	1
backerstrust	1
backexcept	1
backfired	1
backgood	1
background	11
backgroundand	1
backi	2
backing	3
backlash	2
backno	1
backs	11
backseat	1
backstabshell	1
backstage	7
backstay	1
backstop	1
backthe	1
backtime	1
backtracks	1
backup	1
backward	1
backwards	5
backyard	1
bad	472
badass	1
baddest	1
bader	1
badgering	2
badleave	1
badly	98
badlybut	1
bads	1
baffles	1
baffling	1
bag	6
bagdad	1
baghdad	3
baghdadkeep	1
bags	1
bahamas	3
baier	2
bail	3
bailed	5
bailey	1
bailout	4
bails	1
bain	9
baited	2
baja	1
